work_province,age,gender,work_title,work_type,work_contract_type,work_mode,years_experience,years_in_company,years_in_position,people_in_charge,company_size,office_days_number(hybrid),work_place_satisfaction,work_place_benefits,last_month_gross_salary,last_month_net_salary,salary_in_usd,salary_has_bonus,salary_bonus_tied_to,salary_satisfaction,platforms,programming_languages,frameworks,databases,qa_testing_tools,AI_tools_use,highest_level_studies,status,degree/specialization,university/school
Ciudad Autónoma de Buenos Aires,28,Mujer Cis,Scrum Master,Full-Time,Staff (planta permanente),100% remoto,4.0,1.0,1.0,0,De 201 a 500 personas,0,8,"Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",806000.0,625000.0,Cobro parte del salario en dólares,No,No recibo bono,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,45,Varón Cis,Product Manager,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),8.0,1.0,1.0,23,De 2001a 5000 personas,1,7,"Abono de celular, Capacitaciones y/o cursos, Horarios flexibles",1500000.0,1500000.0,Cobro todo el salario en dólares,De uno a tres sueldos,Mix de las anteriores,3,Google Cloud Platform,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,3,Posgrado/Especialización,Completo,MBA,
Ciudad Autónoma de Buenos Aires,43,Varón Cis,Technical Leader,Full-Time,Staff (planta permanente),100% remoto,20.0,3.0,2.0,2,De 11  a 50  personas,0,9,"Descuento en gimnasios / Clases de gimnasia online, Descuentos varios (Clarín 365, Club La Nación, etc)",800000.0,600000.0,No cobro mi salario en dolares,No,No recibo bono,3,"Amazon Web Services, Google Cloud Platform, Linux","CSS, HTML, Javascript, PHP, SQL","Bootstrap, jQuery, Laravel, Node.js, Symfony, WordPress","Amazon RDS/Aurora, ElasticSearch, MariaDB, MySQL, Redis",Postman,1,Universitario,Incompleto,Ingenieria en Sistemas,UTN - Universidad Tecnológica Nacional
Ciudad Autónoma de Buenos Aires,39,Varón Cis,Technical Leader,Full-Time,Staff (planta permanente),100% remoto,2.0,3.0,2.0,7,De 201 a 500 personas,0,7,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",784901.0,525337.0,No cobro mi salario en dolares,No,No recibo bono,3,"Amazon Web Services, Docker, Linux","CSS, Javascript, PHP, SQL","React.js, Symfony",PostgreSQL,PHPUnit,1,Terciario,Completo,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional
Ciudad Autónoma de Buenos Aires,24,Varón Cis,UX Designer,Full-Time,Staff (planta permanente),100% remoto,2.0,1.0,1.0,0,De 51 a 100 personas,0,0,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",232000.0,197500.0,Mi sueldo está dolarizado (pero cobro en moneda local),No,No recibo bono,2,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,2,Universitario,En curso,Diseño Industrial,UBA - Universidad de Buenos Aires
Ciudad Autónoma de Buenos Aires,43,Mujer Cis,QA / Tester,Full-Time,Staff (planta permanente),100% remoto,5.0,1.0,1.0,0,De 101 a 200 personas,0,5,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",399445.0,331540.0,No cobro mi salario en dolares,No,No recibo bono,3,Google Cloud Platform,"Python, SQL",Ninguno de los anteriores,"MongoDB, Redis","Katalon, Postman",0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,35,Varón Cis,Technical Leader,Part-Time,Freelance,100% remoto,15.0,2.0,2.0,0,De 11  a 50  personas,0,8,Horarios flexibles,1440000.0,1392000.0,Cobro todo el salario en dólares,Un sueldo,Performance de la compañía,4,"Docker, Google Cloud Platform, Linux","C#, Solidity, TypeScript","Node.js, Unity","MongoDB, MySQL",Jest,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,28,Prefiero no decir,Developer,Full-Time,Staff (planta permanente),100% remoto,2.0,0.0,0.0,0,De 11  a 50  personas,0,10,"Capacitaciones y/o cursos, Horarios flexibles",179280.0,148802.0,No cobro mi salario en dolares,No,No recibo bono,3,"Amazon Web Services, Docker, Firebase, Linux","HTML, Java, Javascript, Kotlin","Flutter, Next.js, Node.js, React.js","Amazon Redshift, MySQL, PostgreSQL, Redis, SQLite","Jest, Mocha",3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,31,Mujer Cis,Develiper Manager,Full-Time,Staff (planta permanente),100% remoto,3.0,3.0,2.0,2,De 11  a 50  personas,0,10,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",600000.0,600000.0,Cobro parte del salario en dólares,Un sueldo,Performance individual,3,Ninguna de las anteriores,"Bash/Shell, HTML, Javascript, PHP, Python, SQL","Bootstrap, jQuery, React.js",MySQL,Postman,4,Terciario,Completo,Tecnicatura en Programación,
Ciudad Autónoma de Buenos Aires,22,yo que se que es todo eso masculino,Developer,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),0.0,0.0,0.0,0,Más de 10000 personas,1,10,"Abono de Internet, Estacionamiento gratuito / subvencionado",84000.0,64000.0,Mi sueldo está dolarizado (pero cobro en moneda local),No,No recibo bono,4,.net,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap","MariaDB, Microsoft SQL Server, MySQL",Mocha,0,Universitario,Incompleto,Analista de Sistemas,UTN - Universidad Tecnológica Nacional
Ciudad Autónoma de Buenos Aires,22,Varón Cis,Developer,Full-Time,Contractor,100% remoto,2.0,2.0,2.0,3,De 11  a 50  personas,0,8,"Capacitaciones y/o cursos, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",1676500.0,,Cobro todo el salario en dólares,No,No recibo bono,4,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, Serverless","SQL, TypeScript","Next.js, Node.js, React.js","Amazon DynamoDB, PostgreSQL","Jest, Vitest",1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,45,"Insisto, no es tan complicado. ",Technical Leader,Full-Time,Staff (planta permanente),100% remoto,23.0,5.0,2.0,4,De 2001a 5000 personas,0,7,"Abono de Internet, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",1574000.0,1258000.0,Cobro parte del salario en dólares,No,"Habia bono y lo sacaron, lo mandaron al sueldo y disfrazaron el merit increase asi",4,Linux,"Java, Javascript, TypeScript",Ninguno de los anteriores,PostgreSQL,"Jest, Postman, Selenium",1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,30,Varón Cis,Data Engineer,Full-Time,Staff (planta permanente),100% remoto,1.0,1.0,1.0,0,De 101 a 200 personas,0,5,"Capacitaciones y/o cursos, Viáticos, Rappi Prime",451500.0,343500.0,No cobro mi salario en dolares,Un sueldo,Mix de las anteriores,2,"Amazon Web Services, Docker, Linux","Bash/Shell, Python",Ninguno de los anteriores,"Microsoft SQL Server, MySQL",Ninguna de las anteriores,4,Universitario,Completo,Ingeniería Industrial,UNGS - Universidad Nacional de General Sarmiento
Ciudad Autónoma de Buenos Aires,53,Varón Cis,Manager / Director,Part-Time,Staff (planta permanente),Híbrido (presencial y remoto),7.0,7.0,7.0,4,De 2001a 5000 personas,3,7,"Clases de idiomas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Vacaciones flexibles (adicionales a las reglamentarias)",166537.0,138226.0,No cobro mi salario en dolares,No,No recibo bono,1,"Amazon Web Services, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,3,Maestría,En curso,Licenciatura en Sistemas de Información,USAL - Universidad del Salvador
Ciudad Autónoma de Buenos Aires,55,Varón Cis,Developer,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),30.0,20.0,15.0,2,De 11  a 50  personas,1,8,"Horarios flexibles, Viáticos",540000.0,540000.0,No cobro mi salario en dolares,No,No recibo bono,3,Ninguna de las anteriores,"PHP, Python, SQL, Visual FoxPro","WordPress, Python Anaconda para análisis de datos",PostgreSQL,Ninguna de las anteriores,2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,43,Mujer Cis,Consultant,Part-Time,Staff (planta permanente),100% remoto,3.0,3.0,3.0,0,De 11  a 50  personas,0,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",350000.0,273900.0,No cobro mi salario en dolares,No,No recibo bono,2,Ninguna de las anteriores,VBA,Ninguno de los anteriores,"MariaDB, Oracle",Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,35,Varón Cis,SOC Analyst,Full-Time,Contractor,100% remoto,2.0,2.0,1.0,0,De 11  a 50  personas,0,7,Capacitaciones y/o cursos,384000.0,364000.0,No cobro mi salario en dolares,No,No recibo bono,2,"Google Cloud Platform, Linux, SIEM, NDR, EDR",Python,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,46,Varón Cis,Technical Leader,Full-Time,Staff (planta permanente),100% remoto,17.0,11.0,4.0,5,De 201 a 500 personas,0,4,Horarios flexibles,9655000.0,665170.0,No cobro mi salario en dolares,No,No recibo bono,2,"Docker, Linux","Bash/Shell, CSS, HTML, Javascript, PHP, Python, SQL","Bootstrap, Symfony","Informix, MariaDB, MySQL, Redis",Cypress,1,Terciario,Incompleto,Analista de Sistemas,
Ciudad Autónoma de Buenos Aires,31,Varón Cis,Soporte tecnico ON-site,Full-Time,Tercerizado (trabajo a través de consultora o agencia),100% presencial,8.0,0.0,0.0,0,De 101 a 200 personas,0,8,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",215.0,180.0,No cobro mi salario en dolares,No,No recibo bono,3,"VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,26,Varón Cis,BI Analyst / Data Analyst,Full-Time,Staff (planta permanente),100% remoto,2.0,0.0,0.0,0,De 101 a 200 personas,0,6,Horarios flexibles,300000.0,250000.0,No cobro mi salario en dolares,No,No recibo bono,2,Ninguna de las anteriores,"SQL, VBA",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,4,Terciario,En curso,Tecnicatura en Ciencia de Datos,ISTEA - Instituto Superior Tecnológico Empresarial Argentino
Ciudad Autónoma de Buenos Aires,28,Varón Cis,Developer,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),6.0,5.0,5.0,0,De 2 a 10 personas,1,8,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",650000.0,450000.0,No cobro mi salario en dolares,3+ sueldos,"Por cada año que me quedo despues de los 5 años, aumentan 1000 dolares el bono anual",3,VMWare,".NET, C#, HTML, Javascript, SQL",".NET Core, jQuery","Microsoft SQL Server, Oracle",Xunit,2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,40,Varón Cis,Manager / Director,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),16.0,16.0,5.0,60,De 1001 a 2000 personas,3,5,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",1100000.0,750000.0,No cobro mi salario en dolares,No,No recibo bono,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,27,Varón Cis,Developer,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),1.0,0.0,0.0,1,De 2 a 10 personas,2,6,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",270000.0,220000.0,No cobro mi salario en dolares,Menos de un sueldo,Mix de las anteriores,3,Azure,"CSS, HTML, Javascript, Python, SQL","Bootstrap, jQuery, Node.js, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, PostgreSQL",Jest,5,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,41,Varón Cis,SRE (Site Reliability Engineer),Full-Time,Staff (planta permanente),100% remoto,6.0,1.0,1.0,0,De 11  a 50  personas,0,9,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",790000.0,650000.0,No cobro mi salario en dolares,No,No recibo bono,3,"Amazon Web Services, Azure, Docker, Kubernetes, Linux, OpenShift, Serverless, VMWare","Bash/Shell, Groovy, Java, Javascript, Python, SQL",Spring,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MariaDB, Microsoft SQL Server, MongoDB, MySQL, PostgreSQL, Redis",Ninguna de las anteriores,2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,31,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,4.0,2.0,2.0,0,De 1001 a 2000 personas,0,7,"Abono de Internet, Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",763093.0,513639.0,Cobro parte del salario en dólares,Un sueldo,Mix de las anteriores,3,"Amazon Web Services, Docker","Bash/Shell, Java, SQL",Micronaut,"Amazon DynamoDB, PostgreSQL","JUnit, Postman",0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,26,Varón Cis,BI Analyst / Data Analyst,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),2.0,1.0,1.0,0,Más de 10000 personas,1,10,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Estacionamiento gratuito / subvencionado, Horarios flexibles, Lactario en la oficina, Vacaciones flexibles (adicionales a las reglamentarias)",610000.0,450000.0,No cobro mi salario en dolares,De uno a tres sueldos,Mix de las anteriores,3,Amazon Web Services,"Python, SQL","Hadoop, Spark",Apache Hive,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,25,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,1.0,1.0,1.0,0,De 101 a 200 personas,0,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",228915.0,190000.0,Mi sueldo está dolarizado (pero cobro en moneda local),No,No recibo bono,2,Ninguna de las anteriores,Java,"jQuery, Spring",Oracle,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,42,Varón Cis,Project Manager,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),10.0,1.0,1.0,0,Más de 10000 personas,4,5,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",770000.0,,Mi sueldo está dolarizado (pero cobro en moneda local),Menos de un sueldo,Performance individual,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,30,Varón Cis,QA / Tester,Full-Time,Staff (planta permanente),100% remoto,4.5,4.5,1.0,0,De 5001 a 10000 personas,0,6,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",329000.0,240000.0,Cobro parte del salario en dólares,No,No recibo bono,2,Azure,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,29,Mujer Cis,QA / Tester,Full-Time,Staff (planta permanente),100% remoto,5.0,3.0,0.0,0,De 11  a 50  personas,0,5,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles",294000.0,276848.0,Cobro parte del salario en dólares,No,No recibo bono,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,MySQL,"Cypress, Postman, SoapUI",0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,35,Mujer Cis,QA / Tester,Full-Time,Staff (planta permanente),100% remoto,12.0,1.0,1.0,0,De 1001 a 2000 personas,0,4,Abono de Internet,441000.0,,Cobro parte del salario en dólares,No,No recibo bono,3,Amazon Web Services,SQL,Ninguno de los anteriores,PostgreSQL,Postman,5,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,26,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,1.0,1.0,1.0,0,De 101 a 200 personas,0,8,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",806.0,791.0,Cobro parte del salario en dólares,No,No recibo bono,3,"Linux, SAP","CSS, HTML, Javascript, TypeScript","Angular, Bootstrap, SAP",Ninguna de las anteriores,Ninguna de las anteriores,4,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,45,Prefiero no decir,Architect,Full-Time,Contractor,100% remoto,20.0,4.0,4.0,0,De 5001 a 10000 personas,0,8,Ninguna de las anteriores,1000000.0,650000.0,No cobro mi salario en dolares,No,No recibo bono,3,"Docker, Firebase, Google Cloud Platform, Kubernetes, Linux, OpenShift","CSS, HTML, Java, Javascript, PHP, TypeScript","Angular, Bootstrap, Cordova, jQuery, Laravel, Node.js, React.js, Vue.js","ElasticSearch, MariaDB, MongoDB, MySQL, Oracle, Percona Server, Redis, SQLite","Cucumber, Selenium, SoapUI",3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,38,Varón Cis,Recruiter / HR,Full-Time,Staff (planta permanente),100% remoto,4.0,0.0,0.0,9,De 101 a 200 personas,0,10,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",750000.0,490000.0,Cobro parte del salario en dólares,De uno a tres sueldos,Mix de las anteriores,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,3,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,33,Mujer Cis,UX Designer,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),0.0,0.0,0.0,0,De 11  a 50  personas,1,6,"Capacitaciones y/o cursos, Horarios flexibles",277000.0,214000.0,No cobro mi salario en dolares,No,No recibo bono,2,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,1,Doctorado,Completo,Cs Sociales,UBA - Universidad de Buenos Aires
Ciudad Autónoma de Buenos Aires,37,Varón Cis,HelpDesk,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),15.0,10.0,10.0,0,De 2 a 10 personas,2,1,Ninguna de las anteriores,150000.0,135000.0,No cobro mi salario en dolares,No,No recibo bono,1,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,34,Varón Cis,SysAdmin,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),5.0,5.0,5.0,0,De 201 a 500 personas,3,3,Ninguna de las anteriores,380000.0,320000.0,No cobro mi salario en dolares,Un sueldo,Votado por decisión colectiva,1,"Linux, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,50,"No corresponde, es como preguntar la religion o el color de piel",BI Analyst / Data Analyst,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),25.0,10.0,1.0,2,De 2001a 5000 personas,1,6,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas",1374000.0,932000.0,No cobro mi salario en dolares,No,No recibo bono,2,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Oracle,Ninguna de las anteriores,1,Universitario,Completo,Licenciatura en Informática,UP - Universidad de Palermo
Ciudad Autónoma de Buenos Aires,41,Varón Cis,Technical Leader,Full-Time,Staff (planta permanente),100% remoto,10.0,2.0,0.0,7,De 51 a 100 personas,0,9,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Vacaciones flexibles (adicionales a las reglamentarias)",500000.0,465000.0,No cobro mi salario en dolares,Menos de un sueldo,Performance individual,3,Mainframe,COBOL,Ninguno de los anteriores,IBM Db2,Ninguna de las anteriores,0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,27,Mujer Cis,Business Analyst,Full-Time,Staff (planta permanente),100% remoto,6.0,2.0,1.0,0,De 201 a 500 personas,0,9,"Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",550000.0,440000.0,No cobro mi salario en dolares,De uno a tres sueldos,Mix de las anteriores,3,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,0,Universitario,Completo,Licenciatura en Sistemas de Información,UBA - Universidad de Buenos Aires
Ciudad Autónoma de Buenos Aires,42,Hombre,Manager / Director,Full-Time,Staff (planta permanente),100% remoto,15.0,4.0,1.0,14,De 1001 a 2000 personas,0,8,"Abono de Internet, Comidas pagas / subvencionadas, Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",1400000.0,800000.0,Cobro parte del salario en dólares,Menos de un sueldo,Performance de la compañía,3,"Amazon Web Services, Google Cloud Platform","Go, Java, Python",Ninguno de los anteriores,"Amazon DynamoDB, Google Cloud Storage","JUnit, Postman",0,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,21,No binarie,Developer,Full-Time,Staff (planta permanente),100% remoto,2.0,1.0,2.0,0,De 201 a 500 personas,0,7,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",478663.0,401575.0,No cobro mi salario en dolares,No,No recibo bono,3,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, CSS, Go, HTML, Javascript, Python, SQL, TypeScript","Flask, Next.js, Node.js, React.js","Amazon DynamoDB, Amazon RDS/Aurora, MySQL, Redis","Cucumber, Jest, Postman, Puppeteer",2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,38,Varón Cis,Infraestructura IT,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),15.0,0.0,0.0,0,Más de 10000 personas,2,5,"Abono de celular, Abono de Internet, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",464600.0,374992.0,No cobro mi salario en dolares,No,No recibo bono,2,"Azure, Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,0,Posgrado/Especialización,En curso,Redes de datos,UTN - Universidad Tecnológica Nacional
Ciudad Autónoma de Buenos Aires,23,Mujer Cis,Networking,Part-Time,Freelance,Híbrido (presencial y remoto),0.0,0.0,4.0,0,1 (solamente yo),4,10,Ninguna de las anteriores,10500.0,10500.0,Mi sueldo está dolarizado (pero cobro en moneda local),No,No recibo bono,2,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,1,Universitario,En curso,Licenciatura en música,UNSAM - Universidad de San Martín
Ciudad Autónoma de Buenos Aires,26,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,4.0,3.0,1.0,0,Más de 10000 personas,0,10,"Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, 70% off en comercios con QR con limite mensual ajustable",700000.0,468282.0,No cobro mi salario en dolares,Menos de un sueldo,Fijo de 250 al MEP,4,Microcontroladores,Go,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,37,Varón Cis,Developer,Full-Time,Staff (planta permanente),100% remoto,13.0,1.0,1.0,0,Más de 10000 personas,0,7,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",998000.0,664000.0,No cobro mi salario en dolares,Un sueldo,Mix de las anteriores,3,Middleware propietario,"Java, Javascript","Node.js, Spring, Micronaut",Ninguna de las anteriores,"JUnit, Postman",1,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
Ciudad Autónoma de Buenos Aires,45,Varón Cis,Scrum Master,Full-Time,Staff (planta permanente),Híbrido (presencial y remoto),10.0,1.0,1.0,0,Más de 10000 personas,2,5,"Abono de Internet, Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc)",1010000.0,650000.0,No cobro mi salario en dolares,Un sueldo,Mix de las anteriores,1,"Azure, Kubernetes, Linux, Windows Server",Java,React.js,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,2,Prefiero no responder,Prefiero no responder,Prefiero no responder,Prefiero no responder
